imgpath;name;ferme;code;ville;poids;grasse;lat;lng
2.png;Le Fanchon du Gâtinais;P. Allard, Les Chapoutins;89270;Essert;;45;47.6329963;6.8159189
3.png;goat milk;;;;;;;
4.png;Le Palet;La Ferme du Logis;79220;CHAMPDENIERS;150;20;46.4862923;-0.4029359
5.png;Sant Gil D'albio;;;Albio, Tarragona;;;41.5614002;1.2867609
6.png;fromage Mi-chevre;Fromagerie de la Mélusine;;Cloué, Vienne;;30;46.4417494;0.1637495
7.png;P. Bertrand;P. Bertrand;;SantRanges, Cher;80;45;47.4981798;2.7726737
8.png;LE Chevro'ya;Claudine Bernard Viau;;Ile D'yeu;130;45;46.71018105;-2.34917690050466
9.png;Le Bigoton;La Chevrerie d'authon;;Loire et Cher;;45;47.024882399999996;2.5753333606655704
10.png;Buche kg pur chevre;;;;1kg;;;
11.png;La Fourrierre;Girardot C.;52360;Frécourt;;;47.9514392;5.4578072
12.png;Cabri du Berry;Fromagerie Hubert Triballat;18220;Rians;150;45;43.6060171;5.7570944
13.png;Crottin de Chavignol;Affineur Dubois - Boulay;18300;Chavignol;60;;47.33765655;2.8012337083
14.png;Fromage de Chevre;;;;;;;
15.png;Fromage de Chevre;LAITrie COOPve;;Vicq sur Nahon;;45;47.1067293;1.5305954
16.png;Le tentation Chevre;Etoile du Vercors;;Vercors;180;17;45.2006257;5.7509848
17.png;Fromage de Chévre;ferme de la pagenie;87310;Gorre;;;45.7413889;0.9836111
18.png;Fromage de Chevre;laiterie coopve de saint loup;79600;saint-loup-sur-thouet;175;45;46.78993575;-0.16798675478870345
19.png;le pelardon cigalios;Fromagerie Cigaloise;30170;Saint Hippolyte-du-fort;60;45;43.9643602;3.8564364
20.png;Chevre;Le pré Laval;41130;chatillon sur cher;150;;47.2740542;1.4941856
21.png;pelardon d'amélie;;;;65;45;;
22.png;Fromage de chèvre fermier;;;;;;;
23.png;le moissac des cevennes;sca fromagere des cevennes;48110;Moissac Vallee Francaise;60;45;44.1632402;3.7850987
24.png;mon cabri;sa chevrechard;;la chapelle saint laurent;170;45;46.746221;-0.4766783
25.png;la chevre verte;;24300;;35;45;45.5921971;0.7009928180916553
26.png;blanchettes;laiterie de villefagnan;;villefagnan;;45;46.0120389;0.0795577
27.png;le biscaron;;;;;;;
28.png;pjacquin;p. jacquin & fils;36600;la vernelle;150;25;47.2479803;1.5439112
29.png;LE SAFFRIN FERMIER;;;montchamp;;45;48.9118458;-0.757650053490807
30.png;crottin de chavignol;chevrerie du grand bardelet;45500;poilly-lez-gien;60;45;47.6769496;2.5932801
31.png;charolais;gaec mathieu gevalrc;71430;saint vincent bragny;;;46.5337782;4.1258842
32.png;picodon;producteurs fromagers;26400;;60;;44.8143709;5.163241736590438
33.png;Fromage de chèvre fermier;;;;100;;;
